3.12112005,3.93831807,3.33942581,3.63140246,2.95110698,3.52967261,3.53805571,3.3377686,3.87811006,2.78426151
3.53953744,3.94551395,3.67956128,3.79473336,3.40314252,3.74247265,3.77544942,3.67865924,3.84950574,3.48507556
3.69741398,3.91679401,3.76979118,3.79353585,3.6127822,3.75774631,3.80689201,3.76928589,3.78323846,3.62292906
3.75318119,3.89274553,3.78644567,3.77128671,3.70585761,3.74312994,3.79590625,3.78614544,3.73763294,3.64322056
3.76933748,3.87519855,3.78107355,3.74992689,3.74566307,3.72646862,3.77751399,3.78088533,3.70785129,3.64529892
3.21676652,4.00642862,3.42870054,3.70934195,3.05110385,3.61046968,3.62060358,3.42710609,3.94443707,2.87643419
3.61960748,4.00669258,3.75296143,3.85763297,3.48881597,3.80610217,3.84293049,3.75210378,3.90359957,3.54218457
3.76731767,3.97446099,3.83405418,3.84880588,3.68787321,3.81278039,3.86636352,3.83358371,3.83017697,3.66391647
3.81649705,3.94826357,3.84493352,3.82161326,3.77375572,3.79270374,3.85026806,3.84466336,3.77904423,3.67411193
3.82803505,3.92928305,3.8354631,3.79655891,3.80847001,3.77200501,3.82814518,3.83530242,3.74450336,3.66886255
3.18971875,3.98541419,3.40296236,3.68561709,3.02317652,3.58579639,3.59622838,3.40135819,3.92310394,2.84840861
3.59525252,3.98606757,3.72978749,3.83581669,3.46345391,3.78373038,3.82072235,3.72892502,3.88310095,3.51994393
3.74447816,3.95389737,3.8120466,3.82770931,3.66423405,3.79138008,3.84498266,3.81157332,3.81017157,3.6447394
3.79448575,3.92772797,3.82353009,3.8009924,3.75114192,3.77195912,3.82933727,3.82325777,3.75968596,3.65721087
3.80653222,3.90877293,3.81445435,3.77635779,3.78649214,3.75182347,3.80755694,3.8142916,3.72592557,3.65378827
3.19672218,3.99025507,3.40940028,3.69162721,3.03063211,3.59230122,3.60220494,3.40779945,3.92869837,2.85769644
3.60163555,3.99189074,3.73605861,3.84268023,3.47002297,3.79103106,3.82706992,3.73519685,3.89052958,3.52925952
3.75109041,3.96044602,3.81887431,3.83553969,3.67075282,3.79960639,3.85215067,3.81840065,3.81888057,3.65443681
3.80155313,3.93475756,3.83097604,3.80953082,3.75793734,3.78083968,3.8372165,3.83070295,3.76914772,3.66691965
3.81406801,3.91612654,3.8224361,3.7853907,3.79365844,3.76113978,3.81598753,3.82227252,3.73579707,3.66329984
3.20089947,3.99477875,3.41372946,3.6959736,3.03465753,3.59654786,3.60661655,3.4121282,3.93292367,2.86074273
3.60588265,3.99590606,3.74021793,3.84633289,3.47428677,3.79453724,3.83105733,3.73935647,3.89360608,3.53131824
3.7550326,3.96406017,3.82257391,3.83848235,3.67484898,3.80235223,3.85554921,3.82210089,3.82103029,3.65560946
3.80511774,3.93808777,3.83421254,3.8119151,3.76174663,3.7830068,3.84009528,3.83394023,3.77064059,3.66766645
3.81726761,3.91925598,3.82526431,3.78734863,3.79715884,3.76288,3.81843887,3.82510153,3.7368351,3.66390479
3.20126582,3.99490735,3.41402314,3.69608726,3.03507922,3.59663471,3.60683125,3.41242191,3.93292904,2.86085803
3.60598429,3.99583351,3.74023008,3.84619609,3.4744685,3.79437555,3.83099304,3.73936861,3.893461,3.53134009
3.75497044,3.96392304,3.82244995,3.83833026,3.67485949,3.80220975,3.85539409,3.8219769,3.82101691,3.65601696
3.8049775,3.93793488,3.83405206,3.81183975,3.76165341,3.78297464,3.83995126,3.83377971,3.77083562,3.66840617
3.81710657,3.9191045,3.82512284,3.78737853,3.79701406,3.76297822,3.81835255,3.82496001,3.73724291,3.664841
3.20199001,3.99560547,3.41474695,3.69682145,3.03580085,3.59738561,3.60755385,3.41314573,3.93366241,2.86174508
3.6067342,3.99657922,3.74098621,3.84699604,3.47521404,3.79519638,3.83176096,3.74012465,3.89430498,3.53232624
3.75575065,3.96470777,3.82324879,3.83919583,3.67562711,3.80309698,3.85621725,3.82277557,3.8219401,3.65698755
3.8057926,3.93874754,3.834894,3.81275143,3.76244787,3.78390394,3.8408222,3.83462142,3.77179391,3.66932366
3.81795526,3.91993666,3.82600137,3.78831843,3.79783703,3.76392957,3.81925917,3.82583828,3.73820565,3.66571305
3.20272197,3.99637944,3.41549718,3.69760926,3.03651712,3.59818158,3.60832094,3.41389599,3.93446046,2.86246734
3.60752505,3.99738741,3.74179012,3.84781322,3.47599033,3.79601659,3.83257301,3.74092859,3.89510415,3.53300629
3.75656336,3.96552094,3.82406464,3.83999309,3.67643151,3.80388601,3.85702917,3.82359147,3.82268433,3.65757028
3.80660754,3.93955733,3.83570177,3.81351446,3.76326222,3.78464984,3.84161519,3.83542926,3.77247474,3.66984127
3.81876167,3.92074115,3.82679162,3.78904564,3.7986505,3.76463398,3.82002638,3.82662864,3.73882995,3.66619654
3.20310451,3.99675399,3.41587901,3.69797928,3.03689951,3.59854711,3.6086998,3.41427782,3.93481493,2.86276689
3.60788991,3.99772596,3.74214447,3.84812839,3.47636162,3.79632238,3.83291268,3.74128299,3.89537732,3.53322525
3.75690113,3.96583148,3.82438337,3.84025818,3.67678257,3.80413871,3.85732565,3.82391026,3.82290169,3.65777254
3.80691662,3.93984816,3.83598698,3.81374472,3.76358989,3.78486858,3.84187585,3.83571454,3.77266643,3.67006622
3.8190444,3.92101827,3.82704904,3.78925411,3.7989549,3.76483382,3.82026039,3.82688612,3.73901642,3.66645062
